date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:05:20	1374/1374	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%229455f8cab6b192988571842c25127860%22	https://www.whoisricky.lol/robots.txt		(from )
19:05:20	33117/33117	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Dec%202024%2003:05:20%20GMT	https://www.whoisricky.lol/	C:/My%20Web%20Sites/Ricky%20AI/www.whoisricky.lol/index.html	(from )
19:05:21	62441/62441	---M-Z	200	added ('OK')	text/css	etag:%2296d7c21495e7ac6f920dc095f9d97551%22	https://cdn.prod.website-files.com/6620f254531609e96ebcdc66/css/ricky-project.webflow.6d46847bf.min.css	C:/My%20Web%20Sites/Ricky%20AI/cdn.prod.website-files.com/6620f254531609e96ebcdc66/css/ricky-project.webflow.6d46847bf.min.css	(from https://www.whoisricky.lol/)
19:05:21	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/Ricky%20AI/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.whoisricky.lol/)
19:05:21	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Dec%202024%2003:05:21%20GMT	https://fonts.gstatic.com/	C:/My%20Web%20Sites/Ricky%20AI/fonts.gstatic.com/index.html	(from https://www.whoisricky.lol/)
19:05:21	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Dec%202024%2003:05:21%20GMT	https://fonts.googleapis.com/	C:/My%20Web%20Sites/Ricky%20AI/fonts.googleapis.com/index.html	(from https://www.whoisricky.lol/)
19:05:21	1950/1950	---M--	200	added ('OK')	image/png	etag:%228546530a05f25a49a6318bd003d6d92c%22	https://cdn.prod.website-files.com/6620f254531609e96ebcdc66/670e69991eb079983ed22693_Favicon-ricky.png	C:/My%20Web%20Sites/Ricky%20AI/cdn.prod.website-files.com/6620f254531609e96ebcdc66/670e69991eb079983ed22693_Favicon-ricky.png	(from https://www.whoisricky.lol/)
19:05:22	42731/42731	---M--	200	added ('OK')	image/jpeg	etag:%22d726026633dffccf6f87f788a6433bf7%22	https://cdn.prod.website-files.com/6620f254531609e96ebcdc66/670e6a164143159266f65b56_Webclip-ricky.jpg	C:/My%20Web%20Sites/Ricky%20AI/cdn.prod.website-files.com/6620f254531609e96ebcdc66/670e6a164143159266f65b56_Webclip-ricky.jpg	(from https://www.whoisricky.lol/)
19:05:22	11352/11352	---MCZ	200	added ('OK')	text/css	etag:%2287689f090c612936a076dc1a68efcabe-ssl-df%22	https://projet-secret-9p.netlify.app/index.css	C:/My%20Web%20Sites/Ricky%20AI/projet-secret-9p.netlify.app/index.css	(from https://www.whoisricky.lol/)
19:05:22	2165/2165	---MC-	200	added ('OK')	application/javascript	date:Wed,%2025%20Dec%202024%2003:05:22%20GMT	https://plausible.io/js/script.outbound-links.js	C:/My%20Web%20Sites/Ricky%20AI/plausible.io/js/script.outbound-links.js	(from https://www.whoisricky.lol/)
19:05:22	7478/7478	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a12227f120cebe6e3546f03882a4478b%22	https://cdn.prod.website-files.com/6620f254531609e96ebcdc66/66d57e120d38b31030c0eb08_small-logo.svg	C:/My%20Web%20Sites/Ricky%20AI/cdn.prod.website-files.com/6620f254531609e96ebcdc66/66d57e120d38b31030c0eb08_small-logo.svg	(from https://www.whoisricky.lol/)
